预测结果_Y,预测结果概率_铅钡,预测结果概率_高钾,氧化钙(CaO),二氧化硫(SO2),氧化铝(Al2O3),二氧化硅(SiO2),氧化铅(PbO),氧化钠(Na2O),氧化钾(K2O),氧化镁(MgO),氧化锡(SnO2),五氧化二磷(P2O5),氧化锶(SrO),氧化铁(Fe2O3),氧化铜(CuO),氧化钡(BaO)
高钾,0.06,0.94,5.78522,0.38366,3.29523,62.6722,0.0,0.0,9.05701,0.76453,0.0,1.05259,0.0,1.56274,3.63841,0.0
铅钡,0.85,0.15,2.12322,0.0,5.39387,32.92655,43.88698,0.0,1.03803,1.11627,0.0,3.22133,0.15476,1.81617,0.08777,0.0
高钾,0.22,0.78,1.47522,0.0,3.42523,80.3922,0.22038,0.0,4.25701,0.0,0.0,0.54259,0.0,0.0,0.54841,0.0
高钾,0.38,0.62,5.33522,0.0,4.86523,55.0522,1.38038,0.0,11.43701,1.00453,0.0,0.58259,0.0966,1.98274,4.85841,2.82077
高钾,0.06,0.94,6.58522,0.35366,5.80523,59.2222,0.0,0.0,8.73701,1.45453,0.0,0.67259,0.0,1.88274,1.94841,0.0
高钾,0.16,0.84,6.81522,0.46366,6.86523,54.9222,0.0,0.0,10.01701,1.66453,0.0,0.82259,0.0566,2.44274,3.03841,0.0
高钾,0.05,0.95,0.0,0.0,10.51523,60.9922,0.17038,0.0,6.43701,1.87453,0.0,4.06259,0.1066,2.21274,2.27841,1.34077
高钾,0.2,0.8,4.87522,0.0,9.41523,53.1522,0.32038,0.0,6.74701,1.62453,0.0,4.38259,0.1166,5.86274,1.94841,0.93077
高钾,0.32,0.68,1.00291,0.0,1.83063,83.23786,0.0,0.0,0.0,0.0,0.0,0.58434,0.0,0.14618,3.0813,0.0
铅钡,1.0,0.0,1.26322,2.53424,1.00387,16.78655,25.13698,0.0,0.0,0.0,0.0,3.24133,0.33476,0.0,10.23777,30.27158
铅钡,0.98,0.02,2.97322,14.98424,0.77387,1.25655,28.90698,0.0,0.0,0.0,0.0,7.21133,0.49476,0.0,2.96777,29.66158
高钾,0.3,0.7,0.55291,0.0,1.17063,85.62786,0.0,0.0,0.54783,0.0,0.0,0.32434,0.0,0.29618,1.3913,0.0
高钾,0.29,0.71,0.14291,0.0,0.66063,87.37786,0.0,0.0,0.87783,0.0,0.0,0.0,0.0,0.23618,0.6813,0.0
铅钡,1.0,0.0,3.29322,0.0,2.35387,30.23655,21.84698,0.0,0.19803,0.64627,0.0,9.03133,0.33476,0.0,4.75777,13.65158
高钾,0.22,0.78,0.65291,0.0,1.31063,84.89786,0.0,0.0,0.96783,0.0,0.0,0.12434,0.0,0.26618,1.4913,0.0
高钾,0.18,0.82,8.16522,0.0,5.52523,52.3522,0.0,2.81753,11.59701,0.0,0.0,1.15259,0.0,2.70274,4.49841,0.0
高钾,0.29,0.71,7.69522,0.0,8.59523,55.8122,1.59038,3.33753,11.34701,0.55453,0.0,0.04259,0.0,0.32274,0.23841,0.0
高钾,0.16,0.84,0.0,0.0,2.51523,55.2122,0.16038,3.16753,6.50701,0.91453,0.0,0.14259,0.0,0.86274,1.05841,0.0
高钾,0.11,0.89,7.73522,0.0,5.54523,58.5222,0.08038,2.05753,13.58701,0.41453,0.0,0.0,0.0366,0.24274,0.83841,0.0
高钾,0.16,0.84,0.0,0.0,0.0,54.0522,0.16038,2.07753,4.77701,0.74453,0.0,0.06259,0.0,0.86274,0.85841,0.0
高钾,0.05,0.95,0.0,0.0,2.41523,72.8022,0.0,0.0,8.48701,1.42453,2.35116,1.24259,0.0666,0.0,0.0,0.0
铅钡,1.0,0.0,2.71322,0.0,3.23387,26.28655,39.27698,0.0,0.0,0.52627,0.0,8.48133,0.15476,1.28617,3.33777,4.39158
铅钡,0.92,0.08,0.0,0.0,5.12969,31.89939,7.10725,0.0,0.68911,0.0,0.0,5.68281,0.0,1.43826,4.70799,22.68543
高钾,0.42,0.58,4.17522,0.0,5.55523,70.0222,0.97038,0.0,0.0,1.11453,0.0,0.98259,0.0,2.19274,3.04841,1.93077
铅钡,0.63,0.37,1.59291,0.0,3.35063,82.95786,0.0,0.0,0.69783,0.63509,0.0,0.18434,0.0,0.32618,0.3913,0.0
铅钡,0.99,0.01,0.28322,0.0,1.08387,50.43655,13.43698,7.86388,0.0,0.64627,0.0,0.0,0.29476,0.0,2.81777,10.90158
铅钡,0.99,0.01,0.36611,0.0,1.26969,26.47939,26.94725,0.0,0.0,0.0,0.0,0.07281,0.88906,0.0,8.38799,25.36543
铅钡,0.99,0.01,0.41322,0.0,1.56387,47.25655,28.35698,2.25388,0.0,0.0,0.0,0.0,0.16476,1.50617,0.94777,5.69158
铅钡,0.98,0.02,1.22322,1.91424,0.36387,16.43655,25.98698,0.0,0.0,0.0,0.0,2.78133,0.41476,0.0,10.39777,31.29158
铅钡,0.98,0.02,2.79322,15.90424,0.84387,0.36655,26.37698,0.0,0.38803,0.0,0.0,5.69133,0.58476,0.0,3.42777,34.49158
高钾,0.31,0.69,0.87291,0.0,2.36063,83.32786,0.0,0.0,0.0,0.53509,0.0,0.33434,0.0,0.17618,1.3813,0.0
铅钡,0.91,0.09,1.12322,0.0,4.36387,64.72655,13.59698,0.0,0.24803,0.93627,0.22749,0.69133,0.08476,0.36617,0.15777,3.08158
铅钡,0.82,0.18,2.76322,0.0,14.00387,59.94655,8.76698,0.86388,0.28803,1.42627,0.0,0.06133,0.21476,0.76617,0.56777,1.07158
铅钡,0.96,0.04,4.38611,0.0,4.02969,28.87939,37.02725,0.0,1.38911,0.93361,0.39624,0.0,0.32906,2.04826,0.0,9.42543
铅钡,0.99,0.01,4.13611,0.0,3.53969,31.46939,35.54725,0.0,0.0,0.46361,0.43624,1.34281,0.45906,2.66826,0.0,9.48543
铅钡,0.96,0.04,1.49611,0.0,2.78969,60.44939,14.35725,0.0,0.0,0.84361,0.0,1.55281,0.27906,4.51826,0.36799,2.55543
铅钡,0.94,0.06,0.35611,0.0,2.03969,64.24939,17.56725,0.0,0.18911,0.0,0.0,0.10281,0.0,0.92826,0.03799,4.01543
铅钡,0.94,0.06,0.53611,0.0,2.02969,70.04939,13.96725,0.0,0.12911,0.95361,0.0,0.06281,0.0,0.0,0.39799,2.68543
铅钡,0.99,0.01,0.56322,0.0,1.28387,32.42655,43.00698,0.0,0.23803,0.0,0.0,0.0,0.18476,0.42617,1.33777,9.04158
铅钡,0.92,0.08,0.27611,0.0,1.11969,60.44939,19.85725,0.0,0.0,0.0,0.0,0.35281,0.0,0.09826,0.08799,4.81543
铅钡,0.99,0.01,0.15322,0.0,1.26387,36.21655,38.06698,2.16388,0.12803,0.0,0.0,0.0,0.18476,0.27617,0.50777,9.87158
铅钡,1.0,0.0,0.78611,3.64629,2.39969,54.65939,15.04725,0.0,0.20911,0.0,0.0,1.39281,0.28906,0.0,2.93799,9.47543
铅钡,1.0,0.0,0.46322,0.0,2.23387,29.57655,45.76698,1.32388,0.0,0.0,0.0,0.13133,0.37476,0.24617,0.55777,8.83158
铅钡,0.96,0.04,0.89322,0.0,0.16387,22.89655,57.48698,0.0,0.0,0.0,0.0,0.81133,0.57476,0.0,0.70777,6.26158
铅钡,0.96,0.04,1.65322,0.0,0.11387,13.35655,66.66698,0.0,0.0,0.0,0.0,1.42133,0.64476,0.14617,0.0,5.73158
铅钡,0.99,0.01,4.74322,0.0,2.99387,15.10655,40.57698,0.0,0.42803,2.66627,0.0,7.11133,0.43476,1.74617,0.01777,8.80158
铅钡,0.99,0.01,0.57322,0.0,3.19387,47.90655,18.33698,5.68388,0.13803,1.02627,0.0,0.0,0.31476,0.0,2.49777,9.51158
铅钡,0.97,0.03,0.0,0.0,5.32387,47.97655,16.57698,5.62388,0.33803,1.09627,0.0,0.0,0.0,0.0,2.54777,9.92158
铅钡,1.0,0.0,5.02322,0.0,1.91387,9.05655,56.30698,0.0,0.0,0.82627,0.0,0.0,0.60476,0.71617,5.17777,6.33158
铅钡,0.93,0.07,6.18322,0.0,3.07387,18.34655,41.20698,0.0,0.0,0.88627,0.0,12.48133,0.43476,1.34617,1.33777,2.30158
铅钡,0.96,0.04,1.92322,0.0,12.35387,57.38655,10.06698,3.00388,0.18803,0.0,0.0,0.0,0.22476,0.72617,0.25777,4.26158
铅钡,1.0,0.0,0.73611,0.0,4.67969,55.81939,13.79725,2.60961,0.08911,0.69361,0.0,0.0,0.20906,0.0,0.45799,10.09543
铅钡,1.0,0.0,0.0,0.0,4.46969,49.74939,23.05725,0.0,0.22911,1.62361,0.0,0.13281,0.40906,0.0,0.69799,9.19543
铅钡,1.0,0.0,0.76611,0.0,2.73969,46.07939,23.20725,4.60961,0.26911,0.56361,0.0,0.03281,0.82906,0.0,0.57799,8.36543
铅钡,0.97,0.03,2.60322,0.0,13.31387,49.97655,12.16698,0.74388,0.30803,1.47627,1.30749,0.75133,0.21476,0.98617,0.0,6.35158
铅钡,0.99,0.01,4.36322,0.0,5.04387,25.43655,30.63698,0.0,0.0,1.40627,0.0,10.75133,0.42476,2.69617,0.52777,5.14158
铅钡,0.98,0.02,1.86322,0.0,6.16387,51.25655,19.47698,0.0,0.28803,1.13627,0.0,3.97133,0.26476,1.22617,0.27777,3.23158
铅钡,1.0,0.0,2.97322,0.0,1.53387,14.62655,40.45698,0.0,0.0,0.40627,0.0,5.99133,0.62476,0.28617,0.95777,13.24158
铅钡,1.0,0.0,2.90322,0.0,3.82387,41.66655,27.06698,0.0,0.0,0.47627,0.0,5.99133,0.19476,0.0,0.52777,5.26158
铅钡,1.0,0.0,3.36322,0.0,4.91387,21.25655,36.69698,0.0,0.0,1.12627,0.46749,7.75133,0.35476,1.14617,1.19777,7.98158
铅钡,0.87,0.13,4.91322,0.0,2.17387,17.99655,47.79698,0.0,0.0,1.38627,0.0,8.40133,0.0,0.37617,0.57777,0.0
铅钡,0.98,0.02,2.05322,0.0,0.82387,22.38655,43.87698,1.16388,0.0,0.48627,0.0,5.36133,0.40476,0.18617,0.52777,7.68158
铅钡,0.99,0.01,0.56322,0.0,5.72387,60.30655,10.11698,2.98388,0.09803,1.07627,0.0,0.0,0.23476,0.0,0.36777,8.03158
铅钡,1.0,0.0,2.97322,0.0,3.81387,18.92655,51.91698,0.0,0.30803,1.21627,0.0,3.89133,0.84476,0.0,0.65777,6.08158
铅钡,0.92,0.08,0.0,0.0,3.31387,13.75655,54.91698,0.0,0.0,1.04627,0.0,13.78133,1.08476,0.0,1.16777,0.0
铅钡,0.97,0.03,1.02611,0.0,1.12969,43.54939,30.72725,2.65961,0.0,0.0,0.0,0.28281,0.0,0.0,0.78799,7.08543
铅钡,0.99,0.01,0.99322,0.0,1.51387,25.79655,37.70698,0.0,0.0,0.0,0.0,2.19133,0.0,0.0,0.61777,14.49158
铅钡,1.0,0.0,1.09322,0.0,1.84387,22.06655,41.55698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98777,16.34158
铅钡,1.0,0.0,3.27322,0.0,3.18387,27.03655,35.80698,0.0,0.32803,0.72627,0.0,8.64133,0.20476,0.81617,2.95777,6.70158
高钾,0.34,0.66,5.472,0.459,6.507,70.605,0.0,0.0,0.0,1.674,0.0,0.954,0.027,1.935,1.899,0.0
铅钡,0.81,0.19,6.867,0.0,2.097,33.975,30.87,0.0,0.0,0.0,0.0,12.843,0.0,0.0,0.0,0.0
铅钡,0.93,0.07,6.471,0.0,2.637,28.755,35.622,0.0,1.224,0.729,0.0,2.412,0.468,6.354,0.189,4.221
铅钡,0.96,0.04,2.601,0.0,6.363,31.923,21.852,0.0,0.711,0.945,0.0,7.605,0.252,5.805,0.864,7.479
铅钡,0.8,0.2,1.476,0.0,11.475,57.861,11.007,1.08,0.333,2.106,0.441,0.171,0.189,0.729,0.846,1.944
高钾,0.22,0.78,0.576,0.0,1.368,83.853,0.0,0.0,1.215,0.189,0.0,0.189,0.0,0.243,1.557,0.0
高钾,0.27,0.73,1.008,0.099,4.554,81.747,0.0,0.0,0.882,0.0,0.0,0.117,0.0,0.216,1.053,0.0
铅钡,1.0,0.0,0.801,2.034,1.908,46.008,19.116,0.0,0.207,0.0,0.0,1.314,0.279,0.0,8.109,10.206
